alias,value,code,description
text/primary,#212529,,Default body text
text/secondary,#868E96,,
text/on-brand,#FFFFFF,,
Background Default,#FFFFFF,,Spaces in the alias work too
background/subtle,#F8F9FA,,
border/default,#DEE2E6,,
action/primary,#2C6BED,,
action/primary-pressed,#1F55C4,,
overlay/scrim,#00000080,,50% black overlay
brandAccentSubtle,#E7F0FF,,camelCase is not re-cased
100,#F1F3F5,,A numeric alias needs a color prefix
new,#E03131,,A Dart keyword needs a color prefix
경고/배경,#FFF4E6,warningSurface,Non-ASCII alias needs an agreed code
